,param_max_depth,param_min_child_weight,split,accuracy,dataset
362,3,0.4,2,0.6333333333333333,left_240x20_fixed
363,3,0.4,3,0.6076555023923444,left_240x20_fixed
364,3,0.4,4,0.6172248803827751,left_240x20_fixed
365,3,0.6000000000000001,0,0.6619047619047619,left_240x20_fixed
366,3,0.6000000000000001,1,0.6476190476190476,left_240x20_fixed
367,3,0.6000000000000001,2,0.6190476190476191,left_240x20_fixed
368,3,0.6000000000000001,3,0.5789473684210527,left_240x20_fixed
369,3,0.6000000000000001,4,0.5933014354066986,left_240x20_fixed
370,3,0.8,0,0.6523809523809524,left_240x20_fixed
371,3,0.8,1,0.638095238095238,left_240x20_fixed
372,3,0.8,2,0.6142857142857143,left_240x20_fixed
373,3,0.8,3,0.5645933014354066,left_240x20_fixed
374,3,0.8,4,0.5980861244019139,left_240x20_fixed
375,3,1,0,0.6,left_240x20_fixed
376,3,1,1,0.638095238095238,left_240x20_fixed
377,3,1,2,0.6476190476190476,left_240x20_fixed
378,3,1,3,0.5645933014354066,left_240x20_fixed
379,3,1,4,0.5980861244019139,left_240x20_fixed
380,3,2,0,0.6047619047619047,left_240x20_fixed
381,3,2,1,0.638095238095238,left_240x20_fixed
382,3,2,2,0.6142857142857143,left_240x20_fixed
383,3,2,3,0.5645933014354066,left_240x20_fixed
384,3,2,4,0.5933014354066986,left_240x20_fixed
385,3,3,0,0.6285714285714286,left_240x20_fixed
386,3,3,1,0.6238095238095238,left_240x20_fixed
387,3,3,2,0.6190476190476191,left_240x20_fixed
388,3,3,3,0.5885167464114832,left_240x20_fixed
389,3,3,4,0.5980861244019139,left_240x20_fixed
390,3,4,0,0.6476190476190476,left_240x20_fixed
391,3,4,1,0.6190476190476191,left_240x20_fixed
392,3,4,2,0.6523809523809524,left_240x20_fixed
393,3,4,3,0.5741626794258373,left_240x20_fixed
394,3,4,4,0.6124401913875598,left_240x20_fixed
395,3,5,0,0.6285714285714286,left_240x20_fixed
396,3,5,1,0.6190476190476191,left_240x20_fixed
397,3,5,2,0.6904761904761905,left_240x20_fixed
398,3,5,3,0.5933014354066986,left_240x20_fixed
399,3,5,4,0.5741626794258373,left_240x20_fixed
400,4,0.0,0,0.6238095238095238,left_240x20_fixed
401,4,0.0,1,0.6047619047619047,left_240x20_fixed
402,4,0.0,2,0.6285714285714286,left_240x20_fixed
403,4,0.0,3,0.5980861244019139,left_240x20_fixed
404,4,0.0,4,0.5885167464114832,left_240x20_fixed
405,4,0.2,0,0.6238095238095238,left_240x20_fixed
406,4,0.2,1,0.6190476190476191,left_240x20_fixed
407,4,0.2,2,0.6428571428571429,left_240x20_fixed
408,4,0.2,3,0.5645933014354066,left_240x20_fixed
409,4,0.2,4,0.6172248803827751,left_240x20_fixed
410,4,0.4,0,0.5904761904761905,left_240x20_fixed
411,4,0.4,1,0.6095238095238096,left_240x20_fixed
412,4,0.4,2,0.6285714285714286,left_240x20_fixed
413,4,0.4,3,0.5980861244019139,left_240x20_fixed
414,4,0.4,4,0.6267942583732058,left_240x20_fixed
415,4,0.6000000000000001,0,0.6,left_240x20_fixed
416,4,0.6000000000000001,1,0.638095238095238,left_240x20_fixed
417,4,0.6000000000000001,2,0.5666666666666667,left_240x20_fixed
418,4,0.6000000000000001,3,0.6076555023923444,left_240x20_fixed
419,4,0.6000000000000001,4,0.5789473684210527,left_240x20_fixed
420,4,0.8,0,0.6142857142857143,left_240x20_fixed
421,4,0.8,1,0.6095238095238096,left_240x20_fixed
422,4,0.8,2,0.6190476190476191,left_240x20_fixed
423,4,0.8,3,0.5933014354066986,left_240x20_fixed
424,4,0.8,4,0.5789473684210527,left_240x20_fixed
425,4,1,0,0.6238095238095238,left_240x20_fixed
426,4,1,1,0.6047619047619047,left_240x20_fixed
427,4,1,2,0.6428571428571429,left_240x20_fixed
428,4,1,3,0.583732057416268,left_240x20_fixed
429,4,1,4,0.6028708133971292,left_240x20_fixed
430,4,2,0,0.6190476190476191,left_240x20_fixed
431,4,2,1,0.6333333333333333,left_240x20_fixed
432,4,2,2,0.6190476190476191,left_240x20_fixed
433,4,2,3,0.5406698564593302,left_240x20_fixed
434,4,2,4,0.583732057416268,left_240x20_fixed
435,4,3,0,0.6571428571428571,left_240x20_fixed
436,4,3,1,0.638095238095238,left_240x20_fixed
437,4,3,2,0.6428571428571429,left_240x20_fixed
438,4,3,3,0.5980861244019139,left_240x20_fixed
439,4,3,4,0.5885167464114832,left_240x20_fixed
440,4,4,0,0.6333333333333333,left_240x20_fixed
441,4,4,1,0.638095238095238,left_240x20_fixed
442,4,4,2,0.6285714285714286,left_240x20_fixed
443,4,4,3,0.583732057416268,left_240x20_fixed
444,4,4,4,0.6267942583732058,left_240x20_fixed
445,4,5,0,0.6142857142857143,left_240x20_fixed
446,4,5,1,0.6428571428571429,left_240x20_fixed
447,4,5,2,0.6285714285714286,left_240x20_fixed
448,4,5,3,0.6076555023923444,left_240x20_fixed
449,4,5,4,0.5885167464114832,left_240x20_fixed
450,5,0.0,0,0.6095238095238096,left_240x20_fixed
451,5,0.0,1,0.6095238095238096,left_240x20_fixed
