,database,dataset,partition,method,accuracy
258,UND_GFI,left_480x80,4,mlp_0,58.36120247840881
259,UND_GFI,left_480x80,4,mlp_1,56.8561851978302
260,UND_GFI,left_480x80,4,mlp_2,58.02675485610962
261,UND_GFI,left_480x80,4,mlp_3,59.19732451438904
262,UND_GFI,left_480x80,4,mlp_4,58.19398164749146
263,UND_GFI,left_480x80,4,mlp_5,60.20066738128662
264,UND_GFI,left_480x80,5,mlp_0,57.35785961151123
265,UND_GFI,left_480x80,5,mlp_1,56.521737575531006
266,UND_GFI,left_480x80,5,mlp_2,54.180604219436646
267,UND_GFI,left_480x80,5,mlp_3,56.18728995323181
268,UND_GFI,left_480x80,5,mlp_4,61.03678941726685
269,UND_GFI,left_480x80,5,mlp_5,56.8561851978302
270,UND_GFI,left_480x80,6,mlp_0,59.36455130577088
271,UND_GFI,left_480x80,6,mlp_1,59.0300977230072
272,UND_GFI,left_480x80,6,mlp_2,60.36789417266846
273,UND_GFI,left_480x80,6,mlp_3,58.69565010070801
274,UND_GFI,left_480x80,6,mlp_4,58.52842926979065
275,UND_GFI,left_480x80,6,mlp_5,61.87291145324707
276,UND_GFI,left_480x80,7,mlp_0,53.34448218345642
277,UND_GFI,left_480x80,7,mlp_1,56.02006912231445
278,UND_GFI,left_480x80,7,mlp_2,60.53511500358582
279,UND_GFI,left_480x80,7,mlp_3,59.36455130577088
280,UND_GFI,left_480x80,7,mlp_4,58.862876892089844
281,UND_GFI,left_480x80,7,mlp_5,59.0300977230072
282,UND_GFI,left_480x80,8,mlp_0,58.69565010070801
283,UND_GFI,left_480x80,8,mlp_1,57.525086402893066
284,UND_GFI,left_480x80,8,mlp_2,58.36120247840881
285,UND_GFI,left_480x80,8,mlp_3,57.85953402519226
286,UND_GFI,left_480x80,8,mlp_4,60.86956262588501
287,UND_GFI,left_480x80,8,mlp_5,61.37123703956604
288,UND_GFI,left_480x80,9,mlp_0,55.351167917251594
289,UND_GFI,left_480x80,9,mlp_1,56.521737575531006
290,UND_GFI,left_480x80,9,mlp_2,59.19732451438904
291,UND_GFI,left_480x80,9,mlp_3,56.521737575531006
292,UND_GFI,left_480x80,9,mlp_4,59.86621975898743
293,UND_GFI,left_480x80,9,mlp_5,56.8561851978302
294,UND_GFI,left_480x80,10,mlp_0,58.19398164749146
295,UND_GFI,left_480x80,10,mlp_1,61.20401620864868
296,UND_GFI,left_480x80,10,mlp_2,59.531772136688225
297,UND_GFI,left_480x80,10,mlp_3,59.86621975898743
298,UND_GFI,left_480x80,10,mlp_4,60.70234179496765
299,UND_GFI,left_480x80,10,mlp_5,60.70234179496765
300,UND_GFI,right_480x80,1,mlp_0,59.93266105651856
301,UND_GFI,right_480x80,1,mlp_1,57.74410963058472
302,UND_GFI,right_480x80,1,mlp_2,61.44781112670898
303,UND_GFI,right_480x80,1,mlp_3,58.249157667160034
304,UND_GFI,right_480x80,1,mlp_4,60.10100841522217
305,UND_GFI,right_480x80,1,mlp_5,59.93266105651856
306,UND_GFI,right_480x80,2,mlp_0,58.75421166419983
307,UND_GFI,right_480x80,2,mlp_1,61.11111044883728
308,UND_GFI,right_480x80,2,mlp_2,58.58585834503174
309,UND_GFI,right_480x80,2,mlp_3,59.59596037864685
310,UND_GFI,right_480x80,2,mlp_4,57.74410963058472
311,UND_GFI,right_480x80,2,mlp_5,57.91245698928833
312,UND_GFI,right_480x80,3,mlp_0,54.20875549316406
313,UND_GFI,right_480x80,3,mlp_1,58.922559022903435
314,UND_GFI,right_480x80,3,mlp_2,56.22895359992981
315,UND_GFI,right_480x80,3,mlp_3,56.56565427780152
316,UND_GFI,right_480x80,3,mlp_4,56.3973069190979
317,UND_GFI,right_480x80,3,mlp_5,57.74410963058472
318,UND_GFI,right_480x80,4,mlp_0,57.74410963058472
319,UND_GFI,right_480x80,4,mlp_1,58.08081030845642
320,UND_GFI,right_480x80,4,mlp_2,55.05050420761109
321,UND_GFI,right_480x80,4,mlp_3,57.74410963058472
322,UND_GFI,right_480x80,4,mlp_4,56.0606062412262
323,UND_GFI,right_480x80,4,mlp_5,57.23905563354492
324,UND_GFI,right_480x80,5,mlp_0,55.38720488548279
325,UND_GFI,right_480x80,5,mlp_1,58.249157667160034
326,UND_GFI,right_480x80,5,mlp_2,57.91245698928833
327,UND_GFI,right_480x80,5,mlp_3,60.60606241226196
328,UND_GFI,right_480x80,5,mlp_4,57.07070827484131
329,UND_GFI,right_480x80,5,mlp_5,58.75421166419983
330,UND_GFI,right_480x80,6,mlp_0,53.703701496124275
331,UND_GFI,right_480x80,6,mlp_1,56.56565427780152
332,UND_GFI,right_480x80,6,mlp_2,59.42760705947876
333,UND_GFI,right_480x80,6,mlp_3,56.90235495567322
334,UND_GFI,right_480x80,6,mlp_4,57.07070827484131
335,UND_GFI,right_480x80,6,mlp_5,57.74410963058472
336,UND_GFI,right_480x80,7,mlp_0,59.93266105651856
337,UND_GFI,right_480x80,7,mlp_1,60.437709093093865
338,UND_GFI,right_480x80,7,mlp_2,59.93266105651856
339,UND_GFI,right_480x80,7,mlp_3,59.764307737350464
340,UND_GFI,right_480x80,7,mlp_4,59.93266105651856
341,UND_GFI,right_480x80,7,mlp_5,59.764307737350464
342,UND_GFI,right_480x80,8,mlp_0,58.922559022903435
343,UND_GFI,right_480x80,8,mlp_1,56.3973069190979
344,UND_GFI,right_480x80,8,mlp_2,56.90235495567322
345,UND_GFI,right_480x80,8,mlp_3,57.23905563354492
346,UND_GFI,right_480x80,8,mlp_4,58.08081030845642
347,UND_GFI,right_480x80,8,mlp_5,54.88215684890747
348,UND_GFI,right_480x80,9,mlp_0,56.3973069190979
349,UND_GFI,right_480x80,9,mlp_1,57.407408952713006
350,UND_GFI,right_480x80,9,mlp_2,53.703701496124275
351,UND_GFI,right_480x80,9,mlp_3,54.04040217399597
352,UND_GFI,right_480x80,9,mlp_4,58.58585834503174
353,UND_GFI,right_480x80,9,mlp_5,55.05050420761109
354,UND_GFI,right_480x80,10,mlp_0,55.05050420761109
355,UND_GFI,right_480x80,10,mlp_1,56.0606062412262
356,UND_GFI,right_480x80,10,mlp_2,54.04040217399597
357,UND_GFI,right_480x80,10,mlp_3,57.07070827484131
358,UND_GFI,right_480x80,10,mlp_4,55.55555820465088
359,UND_GFI,right_480x80,10,mlp_5,55.892252922058105
360,UND_GFI,left_240x20_irisbee,1,mlp_0,56.166666746139526
361,UND_GFI,left_240x20_irisbee,1,mlp_1,52.666664123535156
362,UND_GFI,left_240x20_irisbee,1,mlp_2,54.666668176651
363,UND_GFI,left_240x20_irisbee,1,mlp_3,55.000001192092896
364,UND_GFI,left_240x20_irisbee,1,mlp_4,61.000001430511475
365,UND_GFI,left_240x20_irisbee,1,mlp_5,55.33333420753479
366,UND_GFI,left_240x20_irisbee,2,mlp_0,56.166666746139526
367,UND_GFI,left_240x20_irisbee,2,mlp_1,51.83333158493042
368,UND_GFI,left_240x20_irisbee,2,mlp_2,53.66666913032532
369,UND_GFI,left_240x20_irisbee,2,mlp_3,56.99999928474426
370,UND_GFI,left_240x20_irisbee,2,mlp_4,54.16666865348816
371,UND_GFI,left_240x20_irisbee,2,mlp_5,54.333335161209106
372,UND_GFI,left_240x20_irisbee,3,mlp_0,51.99999809265137
373,UND_GFI,left_240x20_irisbee,3,mlp_1,54.83333468437195
374,UND_GFI,left_240x20_irisbee,3,mlp_2,55.33333420753479
375,UND_GFI,left_240x20_irisbee,3,mlp_3,55.666667222976685
376,UND_GFI,left_240x20_irisbee,3,mlp_4,55.666667222976685
377,UND_GFI,left_240x20_irisbee,3,mlp_5,59.833335876464844
378,UND_GFI,left_240x20_irisbee,4,mlp_0,52.33333110809326
379,UND_GFI,left_240x20_irisbee,4,mlp_1,53.833335638046265
380,UND_GFI,left_240x20_irisbee,4,mlp_2,58.33333134651184
381,UND_GFI,left_240x20_irisbee,4,mlp_3,56.333333253860474
382,UND_GFI,left_240x20_irisbee,4,mlp_4,55.16666769981384
383,UND_GFI,left_240x20_irisbee,4,mlp_5,58.33333134651184
384,UND_GFI,left_240x20_irisbee,5,mlp_0,58.49999785423279
385,UND_GFI,left_240x20_irisbee,5,mlp_1,57.16666579246521
386,UND_GFI,left_240x20_irisbee,5,mlp_2,58.83333086967468
387,UND_GFI,left_240x20_irisbee,5,mlp_3,54.666668176651
388,UND_GFI,left_240x20_irisbee,5,mlp_4,58.99999737739563
389,UND_GFI,left_240x20_irisbee,5,mlp_5,56.49999976158142
390,UND_GFI,left_240x20_irisbee,6,mlp_0,56.66666626930237
391,UND_GFI,left_240x20_irisbee,6,mlp_1,57.33333230018616
392,UND_GFI,left_240x20_irisbee,6,mlp_2,58.49999785423279
393,UND_GFI,left_240x20_irisbee,6,mlp_3,58.666664361953735
394,UND_GFI,left_240x20_irisbee,6,mlp_4,54.666668176651
395,UND_GFI,left_240x20_irisbee,6,mlp_5,59.6666693687439
396,UND_GFI,left_240x20_irisbee,7,mlp_0,54.16666865348816
397,UND_GFI,left_240x20_irisbee,7,mlp_1,56.99999928474426
398,UND_GFI,left_240x20_irisbee,7,mlp_2,57.16666579246521
399,UND_GFI,left_240x20_irisbee,7,mlp_3,53.33333611488342
400,UND_GFI,left_240x20_irisbee,7,mlp_4,52.166664600372314
401,UND_GFI,left_240x20_irisbee,7,mlp_5,56.66666626930237
402,UND_GFI,left_240x20_irisbee,8,mlp_0,52.166664600372314
403,UND_GFI,left_240x20_irisbee,8,mlp_1,54.333335161209106
404,UND_GFI,left_240x20_irisbee,8,mlp_2,52.666664123535156
405,UND_GFI,left_240x20_irisbee,8,mlp_3,54.00000214576721
406,UND_GFI,left_240x20_irisbee,8,mlp_4,54.666668176651
407,UND_GFI,left_240x20_irisbee,8,mlp_5,54.333335161209106
408,UND_GFI,left_240x20_irisbee,9,mlp_0,56.99999928474426
409,UND_GFI,left_240x20_irisbee,9,mlp_1,53.33333611488342
410,UND_GFI,left_240x20_irisbee,9,mlp_2,55.33333420753479
411,UND_GFI,left_240x20_irisbee,9,mlp_3,57.833331823349
412,UND_GFI,left_240x20_irisbee,9,mlp_4,54.666668176651
413,UND_GFI,left_240x20_irisbee,9,mlp_5,59.16666388511658
414,UND_GFI,left_240x20_irisbee,10,mlp_0,54.00000214576721
415,UND_GFI,left_240x20_irisbee,10,mlp_1,54.00000214576721
416,UND_GFI,left_240x20_irisbee,10,mlp_2,57.999998331069946
417,UND_GFI,left_240x20_irisbee,10,mlp_3,55.666667222976685
418,UND_GFI,left_240x20_irisbee,10,mlp_4,55.666667222976685
419,UND_GFI,left_240x20_irisbee,10,mlp_5,54.00000214576721
420,UND_GFI,right_240x20_irisbee,1,mlp_0,50.49999952316284
421,UND_GFI,right_240x20_irisbee,1,mlp_1,59.16666388511658
422,UND_GFI,right_240x20_irisbee,1,mlp_2,54.333335161209106
423,UND_GFI,right_240x20_irisbee,1,mlp_3,56.00000023841858
424,UND_GFI,right_240x20_irisbee,1,mlp_4,57.66666531562805
425,UND_GFI,right_240x20_irisbee,1,mlp_5,57.499998807907104
426,UND_GFI,right_240x20_irisbee,2,mlp_0,53.50000262260437
427,UND_GFI,right_240x20_irisbee,2,mlp_1,59.16666388511658
428,UND_GFI,right_240x20_irisbee,2,mlp_2,58.49999785423279
429,UND_GFI,right_240x20_irisbee,2,mlp_3,62.5
430,UND_GFI,right_240x20_irisbee,2,mlp_4,60.333335399627686
431,UND_GFI,right_240x20_irisbee,2,mlp_5,56.333333253860474
432,UND_GFI,right_240x20_irisbee,3,mlp_0,50.999999046325684
433,UND_GFI,right_240x20_irisbee,3,mlp_1,59.333330392837524
434,UND_GFI,right_240x20_irisbee,3,mlp_2,54.00000214576721
435,UND_GFI,right_240x20_irisbee,3,mlp_3,57.66666531562805
436,UND_GFI,right_240x20_irisbee,3,mlp_4,57.999998331069946
